name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Laura Parks,"Laura Parks is a BSc graduate with 2.3 years of experience in software development. They are proficient in technologies such as HTML, Node.js, React. Work Highlights: - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability. - Managed and optimized Elasticsearch clusters for full-text search capabilities.",BSc,Electronics,8.95,2.3,33,0
Mary Rodriguez,"Mary Rodriguez is a M.Tech graduate with 3.1 years of experience in software development. They are proficient in technologies such as Python, Node.js, SQL, C++, React. Work Highlights: - Developed a browser extension with JavaScript to enhance user productivity. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",M.Tech,Information Technology,8.08,3.1,21,1
Robert Jackson,"Robert Jackson is a M.Tech graduate with 3.0 years of experience in software development. They are proficient in technologies such as Node.js, Java, CSS, React, HTML. Work Highlights: - Performed security audits and penetration testing on web applications to identify vulnerabilities. - Configured and managed Kubernetes Ingress controllers for external access.",M.Tech,Information Technology,6.28,3.0,28,0
Amanda Cisneros,"Amanda Cisneros is a BSc graduate with 3.6 years of experience in software development. They are proficient in technologies such as Java, CSS, C++, Django, JavaScript, Node.js. Work Highlights: - Implemented robust data validation rules and sanitization for user input in a web form. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",BSc,Computer Science,9.07,3.6,27,1
Nicole Anderson,"Nicole Anderson is a MSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as Node.js, Python, JavaScript, CSS, SQL, C++. Work Highlights: - Built a desktop application with Electron and React, providing cross-platform compatibility. - Built a real-time dashboard using Vue.js and WebSockets to display sensor data.",MSc,Electronics,7.15,5.9,29,1
Scott Williams,"Scott Williams is a M.Tech graduate with 0.7 years of experience in software development. They are proficient in technologies such as C++, Node.js, React. Work Highlights: - Built a web crawler using Python and Scrapy to collect publicly available data. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",M.Tech,Electronics,8.75,0.7,23,0
Barbara Collins,"Barbara Collins is a BSc graduate with 5.4 years of experience in software development. They are proficient in technologies such as HTML, Node.js, C++, Java. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration.",BSc,Computer Science,8.65,5.4,34,0
Melissa Bailey,"Melissa Bailey is a B.Tech graduate with 4.1 years of experience in software development. They are proficient in technologies such as CSS, Java, Node.js, Python, SQL, Django. Work Highlights: - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform. - Optimized front-end asset loading using CDN and image optimization techniques.",B.Tech,Electronics,9.7,4.1,23,1
Jesse Thompson,"Jesse Thompson is a M.Tech graduate with 5.5 years of experience in software development. They are proficient in technologies such as Java, React, SQL, Django, JavaScript. Work Highlights: - Implemented server-side logging with Log4j and centralized logging with Splunk. - Implemented serverless functions using Google Cloud Functions for event-driven tasks.",M.Tech,Computer Science,7.42,5.5,21,1
Norma Velasquez,"Norma Velasquez is a BSc graduate with 4.6 years of experience in software development. They are proficient in technologies such as SQL, HTML, Python, C++. Work Highlights: - Contributed to a game engine development in C++ focusing on rendering optimizations. - Managed and scaled Docker Swarm clusters for container orchestration.",BSc,Electronics,9.76,4.6,28,1
Kevin Blair,"Kevin Blair is a M.Tech graduate with 3.7 years of experience in software development. They are proficient in technologies such as Python, Django, C++, Java, SQL, HTML. Work Highlights: - Contributed to open-source project by submitting pull requests and reviewing code in Rust. - Configured and managed Kubernetes Ingress controllers for external access.",M.Tech,Computer Science,7.56,3.7,29,1
Danny Evans,"Danny Evans is a BSc graduate with 1.0 years of experience in software development. They are proficient in technologies such as SQL, JavaScript, Python, Node.js, CSS. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Developed data validation and cleansing scripts in Python for a data migration project.",BSc,Information Technology,9.86,1.0,29,1
Dustin Smith,"Dustin Smith is a MSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as SQL, CSS, Python, HTML. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Optimized front-end asset loading using CDN and image optimization techniques.",MSc,Electronics,7.44,5.9,27,0
Kathleen Wright,"Kathleen Wright is a B.Tech graduate with 3.7 years of experience in software development. They are proficient in technologies such as Python, HTML, JavaScript, Java, CSS, React. Work Highlights: - Automated software releases using Git tags and release management tools. - Built a secure payment gateway integration using PCI DSS compliance standards.",B.Tech,Information Technology,7.48,3.7,30,1
Ronald Harper,"Ronald Harper is a BSc graduate with 2.6 years of experience in software development. They are proficient in technologies such as Node.js, Django, HTML. Work Highlights: - Created comprehensive API documentation using Swagger/OpenAPI for developer consumption. - Designed and developed a user role and permission management system for an enterprise application.",BSc,Electronics,6.8,2.6,30,0
Kendra Lopez,"Kendra Lopez is a B.Tech graduate with 3.3 years of experience in software development. They are proficient in technologies such as CSS, Python, SQL. Work Highlights: - Built a desktop application with Electron and React, providing cross-platform compatibility. - Managed and optimized Elasticsearch clusters for full-text search capabilities.",B.Tech,Electronics,9.27,3.3,29,1
Michael Williams,"Michael Williams is a BSc graduate with 5.0 years of experience in software development. They are proficient in technologies such as SQL, HTML, Node.js, JavaScript. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Developed a desktop application using Java Swing for inventory management.",BSc,Electronics,7.68,5.0,33,0
Kimberly Lowery,"Kimberly Lowery is a M.Tech graduate with 0.9 years of experience in software development. They are proficient in technologies such as HTML, CSS, C++, React, Django, Node.js. Work Highlights: - Built a secure file upload service using AWS S3 and pre-signed URLs. - Integrated push notifications (FCM, APNs) into a mobile application.",M.Tech,Electronics,9.04,0.9,30,0
Kathryn Reese,"Kathryn Reese is a BSc graduate with 5.6 years of experience in software development. They are proficient in technologies such as HTML, Python, Django. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Built a data visualization tool using Python and Plotly Dash for internal reporting.",BSc,Information Technology,9.13,5.6,34,0
Jason Fitzgerald,"Jason Fitzgerald is a MSc graduate with 5.3 years of experience in software development. They are proficient in technologies such as C++, SQL, Node.js, React, CSS. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Designed and implemented a distributed caching layer using Redis for frequently accessed data.",MSc,Electronics,9.61,5.3,34,0
Joy Moon,"Joy Moon is a BSc graduate with 1.1 years of experience in software development. They are proficient in technologies such as React, C++, JavaScript, Java, Django, Python. Work Highlights: - Integrated third-party APIs (Stripe, Twilio) into an e-commerce platform built with Django. - Created comprehensive API documentation using Swagger/OpenAPI for developer consumption.",BSc,Electronics,8.29,1.1,35,1
Rose Logan,"Rose Logan is a MSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as Django, C++, SQL, JavaScript, HTML. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Implemented robust data backup and recovery strategies for critical application data.",MSc,Electronics,7.59,3.9,25,0
James Coleman,"James Coleman is a B.Tech graduate with 1.7 years of experience in software development. They are proficient in technologies such as JavaScript, Django, Java. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Contributed to the design and implementation of a new database indexing strategy.",B.Tech,Computer Science,6.05,1.7,29,0
Rhonda Chen,"Rhonda Chen is a B.Tech graduate with 1.2 years of experience in software development. They are proficient in technologies such as CSS, Python, HTML, Node.js, Java, JavaScript. Work Highlights: - Assisted in the transition from SVN to Git, providing training and support to the development team. - Configured Nginx as a reverse proxy and load balancer for microservices deployments.",B.Tech,Computer Science,6.8,1.2,26,0
Krista Howard,"Krista Howard is a BSc graduate with 4.3 years of experience in software development. They are proficient in technologies such as CSS, Java, Node.js, JavaScript, HTML. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",BSc,Information Technology,7.83,4.3,21,0
Melissa Holland,"Melissa Holland is a BSc graduate with 3.4 years of experience in software development. They are proficient in technologies such as HTML, React, Python. Work Highlights: - Contributed to the design and implementation of a new database indexing strategy. - Developed a custom analytics dashboard using Power BI, integrating with various data sources.",BSc,Computer Science,6.43,3.4,22,0
Daniel Noble,"Daniel Noble is a BSc graduate with 5.6 years of experience in software development. They are proficient in technologies such as Python, Java, Node.js. Work Highlights: - Managed relational and NoSQL databases (Cassandra, Redis) in production environments. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",BSc,Information Technology,9.75,5.6,23,1
Nicholas Mills,"Nicholas Mills is a BSc graduate with 0.7 years of experience in software development. They are proficient in technologies such as React, SQL, Java, C++, CSS. Work Highlights: - Optimized Ruby on Rails application performance by refactoring ActiveRecord queries and caching strategies. - Managed relational and NoSQL databases (Cassandra, Redis) in production environments.",BSc,Computer Science,9.82,0.7,35,0
Cesar Gibson,"Cesar Gibson is a M.Tech graduate with 0.2 years of experience in software development. They are proficient in technologies such as Java, SQL, React, Node.js, CSS, Python. Work Highlights: - Designed and implemented a robust error reporting mechanism with Sentry. - Implemented rate limiting and API throttling for public-facing endpoints.",M.Tech,Electronics,9.09,0.2,35,1
Stephanie Rangel,"Stephanie Rangel is a MSc graduate with 0.8 years of experience in software development. They are proficient in technologies such as Django, JavaScript, React, Node.js, C++, HTML. Work Highlights: - Assisted in the transition from SVN to Git, providing training and support to the development team. - Contributed to open-source project by submitting pull requests and reviewing code in Rust.",MSc,Computer Science,8.44,0.8,31,0
Gary Marshall,"Gary Marshall is a BSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as Node.js, CSS, Django, SQL. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Implemented server-side logging with Log4j and centralized logging with Splunk.",BSc,Electronics,8.67,5.1,27,0
Nicholas Gallagher,"Nicholas Gallagher is a MSc graduate with 4.7 years of experience in software development. They are proficient in technologies such as Django, Node.js, JavaScript, Python, HTML. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Improved database schema design and indexing for a MySQL database, boosting query performance.",MSc,Information Technology,7.35,4.7,29,0
Caitlyn Miller,"Caitlyn Miller is a MSc graduate with 1.5 years of experience in software development. They are proficient in technologies such as C++, Python, SQL. Work Highlights: - Managed version control with Git and GitHub, conducting code reviews for junior developers. - Collaborated on an Android application development using Kotlin, improving UI responsiveness.",MSc,Electronics,7.81,1.5,23,0
April Hoover,"April Hoover is a M.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as Django, Node.js, SQL. Work Highlights: - Implemented robust data validation rules and sanitization for user input in a web form. - Performed security audits and penetration testing on web applications to identify vulnerabilities.",M.Tech,Computer Science,6.99,3.6,26,0
Tony Miller,"Tony Miller is a BSc graduate with 2.1 years of experience in software development. They are proficient in technologies such as C++, JavaScript, Node.js, SQL. Work Highlights: - Configured and managed Kubernetes Ingress controllers for external access. - Developed a component library with Storybook and React for consistent UI development.",BSc,Information Technology,6.8,2.1,34,0
Luke Garner,"Luke Garner is a M.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as HTML, Python, Django. Work Highlights: - Built a secure file upload service using AWS S3 and pre-signed URLs. - Managed package dependencies and build processes with npm and Yarn.",M.Tech,Information Technology,10.0,3.8,22,0
Sarah Strickland,"Sarah Strickland is a M.Tech graduate with 5.7 years of experience in software development. They are proficient in technologies such as SQL, HTML, CSS. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform.",M.Tech,Computer Science,7.01,5.7,26,0
Michelle Anderson,"Michelle Anderson is a B.Tech graduate with 3.4 years of experience in software development. They are proficient in technologies such as React, Node.js, HTML, SQL, C++, Java. Work Highlights: - Integrated payment gateways (PayPal, Square) into a customer-facing web portal. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",B.Tech,Information Technology,8.49,3.4,23,1
Shannon Robinson,"Shannon Robinson is a M.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as SQL, C++, Django, Node.js, JavaScript. Work Highlights: - Improved database schema design and indexing for a MySQL database, boosting query performance. - Developed a desktop application using C# and WPF for internal tooling.",M.Tech,Electronics,8.05,3.6,33,1
Dennis Reyes,"Dennis Reyes is a BSc graduate with 2.3 years of experience in software development. They are proficient in technologies such as C++, JavaScript, Python, HTML, SQL. Work Highlights: - Developed a command-line interface (CLI) tool in Python for cloud resource management. - Managed and troubleshooted Kafka clusters, ensuring reliable message delivery for analytics pipelines.",BSc,Information Technology,7.53,2.3,25,1
Katie Perez,"Katie Perez is a M.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, Python. Work Highlights: - Configured and managed virtual private clouds (VPCs) and subnets in AWS for network isolation. - Developed a desktop application using Java Swing for inventory management.",M.Tech,Electronics,7.23,3.6,30,1
Amy Byrd,"Amy Byrd is a BSc graduate with 3.7 years of experience in software development. They are proficient in technologies such as HTML, C++, Node.js, Django. Work Highlights: - Optimized Ruby on Rails application performance by refactoring ActiveRecord queries and caching strategies. - Designed and developed a user role and permission management system for an enterprise application.",BSc,Information Technology,9.26,3.7,28,0
Haley Klein,"Haley Klein is a MSc graduate with 0.8 years of experience in software development. They are proficient in technologies such as HTML, JavaScript, Django, C++, Python. Work Highlights: - Developed interactive data visualizations using D3.js for business intelligence dashboards. - Implemented end-to-end encryption for data at rest and in transit using TLS.",MSc,Electronics,8.31,0.8,34,0
Clinton Torres,"Clinton Torres is a M.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as C++, CSS, JavaScript, React, Django. Work Highlights: - Optimized image delivery using WebP format and responsive image techniques. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",M.Tech,Information Technology,7.18,3.8,32,0
Lauren Davis,"Lauren Davis is a BSc graduate with 5.3 years of experience in software development. They are proficient in technologies such as CSS, JavaScript, Java, Node.js. Work Highlights: - Integrated third-party authentication providers (Google, Facebook) into a web application. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",BSc,Electronics,8.91,5.3,25,1
Dawn Gordon,"Dawn Gordon is a BSc graduate with 5.0 years of experience in software development. They are proficient in technologies such as Python, Node.js, C++. Work Highlights: - Improved database schema design and indexing for a MySQL database, boosting query performance. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",BSc,Computer Science,7.28,5.0,27,0
Luis Bell,"Luis Bell is a BSc graduate with 2.0 years of experience in software development. They are proficient in technologies such as C++, React, Java, Django, SQL. Work Highlights: - Implemented serverless functions using Google Cloud Functions for event-driven tasks. - Implemented end-to-end encryption for data at rest and in transit using TLS.",BSc,Computer Science,8.5,2.0,21,1
Valerie Taylor,"Valerie Taylor is a B.Tech graduate with 0.9 years of experience in software development. They are proficient in technologies such as HTML, Python, SQL. Work Highlights: - Implemented robust data validation rules and sanitization for user input in a web form. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",B.Tech,Computer Science,9.75,0.9,31,0
Kevin Evans,"Kevin Evans is a M.Tech graduate with 0.4 years of experience in software development. They are proficient in technologies such as C++, CSS, Django, Java. Work Highlights: - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services. - Performed security audits and penetration testing on web applications to identify vulnerabilities.",M.Tech,Computer Science,7.58,0.4,24,0
Miss Amber Hutchinson,"Miss Amber Hutchinson is a M.Tech graduate with 5.2 years of experience in software development. They are proficient in technologies such as Python, CSS, Node.js, C++. Work Highlights: - Configured and managed Kubernetes Ingress controllers for external access. - Configured cloud firewalls and security groups to protect application endpoints.",M.Tech,Information Technology,6.38,5.2,31,0
Lorraine Lutz,"Lorraine Lutz is a BSc graduate with 2.3 years of experience in software development. They are proficient in technologies such as Node.js, Python, C++, React. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Performed security audits and penetration testing on web applications to identify vulnerabilities.",BSc,Information Technology,7.93,2.3,23,0
John Pham,"John Pham is a MSc graduate with 3.3 years of experience in software development. They are proficient in technologies such as Python, Node.js, React, Django, CSS. Work Highlights: - Developed a chatbot using natural language processing (NLP) with spaCy and Python. - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data.",MSc,Electronics,6.44,3.3,32,0
Amy Wilson,"Amy Wilson is a M.Tech graduate with 0.9 years of experience in software development. They are proficient in technologies such as C++, Java, Python, React, Django. Work Highlights: - Configured and managed virtual private clouds (VPCs) and subnets in AWS for network isolation. - Created serverless APIs using Azure Functions and C# for event-driven processing.",M.Tech,Information Technology,9.97,0.9,26,0
Kevin Walker Jr.,"Kevin Walker Jr. is a BSc graduate with 2.3 years of experience in software development. They are proficient in technologies such as Java, React, C++. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Contributed to the design and implementation of a new database indexing strategy.",BSc,Electronics,9.16,2.3,33,0
Sabrina Marquez,"Sabrina Marquez is a MSc graduate with 0.7 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, Java, Django, HTML, C++. Work Highlights: - Integrated third-party APIs (Stripe, Twilio) into an e-commerce platform built with Django. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",MSc,Electronics,9.14,0.7,27,1
Kelly Robinson,"Kelly Robinson is a M.Tech graduate with 3.5 years of experience in software development. They are proficient in technologies such as Java, C++, JavaScript. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations.",M.Tech,Information Technology,7.53,3.5,23,0
Carlos Williams,"Carlos Williams is a MSc graduate with 1.9 years of experience in software development. They are proficient in technologies such as HTML, Python, React, Node.js, JavaScript, Django. Work Highlights: - Developed a desktop application using C# and WPF for internal tooling. - Developed a custom analytics dashboard using Power BI, integrating with various data sources.",MSc,Computer Science,9.3,1.9,34,0
Sarah Harris,"Sarah Harris is a M.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as HTML, Python, CSS, React, JavaScript, SQL. Work Highlights: - Developed custom API gateways with Kong for microservices orchestration and security. - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform.",M.Tech,Electronics,8.32,2.3,30,1
Jason Ray,"Jason Ray is a M.Tech graduate with 0.0 years of experience in software development. They are proficient in technologies such as JavaScript, Node.js, HTML, Java, React, Python. Work Highlights: - Contributed to open-source project by submitting pull requests and reviewing code in Rust. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",M.Tech,Information Technology,9.42,0.0,22,1
Brandon Bennett,"Brandon Bennett is a B.Tech graduate with 1.2 years of experience in software development. They are proficient in technologies such as Django, HTML, SQL, Python, C++. Work Highlights: - Designed and implemented a distributed caching layer using Redis for frequently accessed data. - Implemented serverless functions using Google Cloud Functions for event-driven tasks.",B.Tech,Information Technology,7.01,1.2,32,0
Nathan Young DVM,"Nathan Young DVM is a BSc graduate with 1.8 years of experience in software development. They are proficient in technologies such as Java, HTML, CSS, Node.js, Python, SQL. Work Highlights: - Integrated payment gateways (PayPal, Square) into a customer-facing web portal. - Implemented robust data validation rules and sanitization for user input in a web form.",BSc,Information Technology,8.78,1.8,22,1
Angel Rivera,"Angel Rivera is a BSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as Node.js, React, Django, CSS, JavaScript. Work Highlights: - Designed and implemented a robust error reporting mechanism with Sentry. - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform.",BSc,Computer Science,6.73,5.9,28,0
Leslie Olson,"Leslie Olson is a B.Tech graduate with 5.8 years of experience in software development. They are proficient in technologies such as React, Python, HTML, SQL. Work Highlights: - Managed package dependencies and build processes with npm and Yarn. - Developed command-line tools in Go for internal development workflows and automation.",B.Tech,Information Technology,7.3,5.8,33,0
Samantha Buchanan,"Samantha Buchanan is a BSc graduate with 0.7 years of experience in software development. They are proficient in technologies such as React, HTML, Java, Node.js, Python. Work Highlights: - Developed real-time bidding algorithms in Scala for an ad-tech platform. - Built a desktop application with Electron and React, providing cross-platform compatibility.",BSc,Computer Science,6.88,0.7,23,0
Natalie Morgan,"Natalie Morgan is a BSc graduate with 0.4 years of experience in software development. They are proficient in technologies such as HTML, Node.js, Python, Django, JavaScript. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Improved database schema design and indexing for a MySQL database, boosting query performance.",BSc,Information Technology,8.68,0.4,29,0
Patrick Jackson,"Patrick Jackson is a BSc graduate with 5.8 years of experience in software development. They are proficient in technologies such as Node.js, HTML, JavaScript, React, SQL. Work Highlights: - Managed secrets and environment variables using AWS Secrets Manager. - Implemented robust caching strategies using Memcached for frequently accessed data.",BSc,Electronics,6.83,5.8,24,0
Chad Patterson,"Chad Patterson is a BSc graduate with 0.7 years of experience in software development. They are proficient in technologies such as Java, C++, Django, Python. Work Highlights: - Developed a machine learning model in Python using TensorFlow, achieving 92% accuracy on a classification task. - Managed version control with Git and GitHub, conducting code reviews for junior developers.",BSc,Electronics,7.88,0.7,35,0
David Jones,"David Jones is a MSc graduate with 4.2 years of experience in software development. They are proficient in technologies such as JavaScript, Django, HTML. Work Highlights: - Implemented secure REST endpoints and data encryption for a healthcare application. - Developed a custom authentication service using Auth0 for multi-tenant applications.",MSc,Electronics,6.43,4.2,30,0
Emily Martin,"Emily Martin is a BSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as SQL, JavaScript, CSS, React, HTML, Django. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",BSc,Computer Science,8.39,5.1,26,1
Michelle Ortega,"Michelle Ortega is a B.Tech graduate with 2.5 years of experience in software development. They are proficient in technologies such as JavaScript, CSS, React, C++. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Developed a component library with Storybook and React for consistent UI development.",B.Tech,Electronics,9.85,2.5,34,0
Carmen Campos,"Carmen Campos is a M.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as C++, Java, Python. Work Highlights: - Built a data visualization tool using Python and Plotly Dash for internal reporting. - Configured Continuous Deployment with GitLab CI for multi-stage deployments.",M.Tech,Information Technology,9.57,3.8,33,1
Jamie Carter,"Jamie Carter is a MSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as SQL, HTML, Django, Java. Work Highlights: - Integrated third-party APIs (Stripe, Twilio) into an e-commerce platform built with Django. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",MSc,Information Technology,7.49,3.9,24,0
Angela Cabrera,"Angela Cabrera is a MSc graduate with 4.1 years of experience in software development. They are proficient in technologies such as C++, JavaScript, HTML, Java. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",MSc,Electronics,6.76,4.1,27,0
Marissa Stout,"Marissa Stout is a MSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as Node.js, Python, HTML, React, SQL, CSS. Work Highlights: - Built a Progressive Web App (PWA) with Service Workers for offline capabilities. - Configured load balancers and auto-scaling groups for high-traffic web applications.",MSc,Information Technology,7.35,5.1,27,0
Frank Patterson,"Frank Patterson is a B.Tech graduate with 1.6 years of experience in software development. They are proficient in technologies such as SQL, C++, Node.js. Work Highlights: - Configured cloud firewalls and security groups to protect application endpoints. - Developed command-line tools in Go for internal development workflows and automation.",B.Tech,Electronics,7.24,1.6,26,0
Alicia Faulkner,"Alicia Faulkner is a MSc graduate with 4.9 years of experience in software development. They are proficient in technologies such as SQL, JavaScript, React, CSS. Work Highlights: - Designed and implemented a serverless function in AWS Lambda using Python for image processing. - Developed a chatbot using natural language processing (NLP) with spaCy and Python.",MSc,Computer Science,7.6,4.9,22,0
Benjamin Brown,"Benjamin Brown is a BSc graduate with 0.5 years of experience in software development. They are proficient in technologies such as Java, SQL, Node.js, JavaScript, C++, Django. Work Highlights: - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data. - Developed embedded software in C for an IoT device, managing sensor data acquisition.",BSc,Computer Science,6.23,0.5,32,0
Tyler Arellano,"Tyler Arellano is a BSc graduate with 3.4 years of experience in software development. They are proficient in technologies such as Node.js, C++, SQL, React, Django, HTML. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Managed and optimized Elasticsearch clusters for full-text search capabilities.",BSc,Electronics,8.57,3.4,30,0
Lindsey Morales,"Lindsey Morales is a MSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as React, HTML, CSS, C++, Node.js. Work Highlights: - Automated software releases using Git tags and release management tools. - Built a web crawler using Python and Scrapy to collect publicly available data.",MSc,Electronics,7.04,4.8,29,0
Cynthia Hernandez,"Cynthia Hernandez is a B.Tech graduate with 5.8 years of experience in software development. They are proficient in technologies such as JavaScript, Django, Python. Work Highlights: - Improved build times for a large JavaScript project using Webpack optimizations. - Built a secure payment gateway integration using PCI DSS compliance standards.",B.Tech,Electronics,9.2,5.8,23,1
Jacob Rodriguez,"Jacob Rodriguez is a BSc graduate with 4.5 years of experience in software development. They are proficient in technologies such as React, Node.js, CSS, HTML, Python, Java. Work Highlights: - Built a cross-platform mobile app using React Native, delivering a consistent user experience. - Implemented A/B testing frameworks within a web application to optimize user engagement.",BSc,Electronics,9.17,4.5,30,1
Kristy Carter,"Kristy Carter is a MSc graduate with 5.2 years of experience in software development. They are proficient in technologies such as C++, HTML, Django, JavaScript, Java, SQL. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Managed package dependencies and build processes with npm and Yarn.",MSc,Electronics,6.8,5.2,35,0
Andre Burgess,"Andre Burgess is a BSc graduate with 3.2 years of experience in software development. They are proficient in technologies such as C++, CSS, JavaScript, React. Work Highlights: - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times. - Contributed to a game engine development in C++ focusing on rendering optimizations.",BSc,Electronics,8.07,3.2,30,0
Antonio Jones,"Antonio Jones is a M.Tech graduate with 2.0 years of experience in software development. They are proficient in technologies such as Java, JavaScript, Python. Work Highlights: - Developed real-time bidding algorithms in Scala for an ad-tech platform. - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app.",M.Tech,Computer Science,9.97,2.0,27,1
Rachel Chapman,"Rachel Chapman is a B.Tech graduate with 5.2 years of experience in software development. They are proficient in technologies such as JavaScript, Python, Java, CSS. Work Highlights: - Configured Continuous Deployment with GitLab CI for multi-stage deployments. - Developed a machine learning model in Python using TensorFlow, achieving 92% accuracy on a classification task.",B.Tech,Computer Science,9.8,5.2,27,1
Michael Fisher,"Michael Fisher is a MSc graduate with 4.6 years of experience in software development. They are proficient in technologies such as Django, C++, SQL, JavaScript, React, Java. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Implemented A/B testing frameworks within a web application to optimize user engagement.",MSc,Electronics,6.35,4.6,28,0
Tanya Smith,"Tanya Smith is a B.Tech graduate with 4.9 years of experience in software development. They are proficient in technologies such as C++, SQL, HTML. Work Highlights: - Managed version control with Git and GitHub, conducting code reviews for junior developers. - Implemented a data migration script from SQL Server to PostgreSQL using Python.",B.Tech,Computer Science,8.37,4.9,25,0
Kaitlyn Miller,"Kaitlyn Miller is a BSc graduate with 5.7 years of experience in software development. They are proficient in technologies such as Node.js, Django, Java, C++, SQL, React. Work Highlights: - Created comprehensive API documentation using Swagger/OpenAPI for developer consumption. - Created serverless APIs using Azure Functions and C# for event-driven processing.",BSc,Computer Science,6.76,5.7,28,0
Kimberly Kane,"Kimberly Kane is a BSc graduate with 5.7 years of experience in software development. They are proficient in technologies such as JavaScript, Java, SQL, React, HTML, CSS. Work Highlights: - Automated software releases using Git tags and release management tools. - Configured and managed virtual private clouds (VPCs) and subnets in AWS for network isolation.",BSc,Computer Science,7.06,5.7,29,1
Abigail Hansen,"Abigail Hansen is a B.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as Java, Django, Node.js, SQL, Python. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Configured and maintained Prometheus and Grafana for system monitoring and alerting.",B.Tech,Electronics,9.88,3.8,25,1
